| S.No | Skip List Time | Set Time | Closeness (%) |
| 222  | 0.002190       | 0.002333 | 93.867898     |
| 223  | 0.002389       | 0.002066 | 86.464895     |
| 224  | 0.002189       | 0.002002 | 91.451287     |
| 225  | 0.001995       | 0.001937 | 97.102124     |
| 226  | 0.002254       | 0.002151 | 95.424775     |
| 227  | 0.002872       | 0.001912 | 66.581350     |
| 228  | 0.002083       | 0.001896 | 91.033838     |
| 229  | 0.001958       | 0.001785 | 91.159975     |
| 230  | 0.002094       | 0.002013 | 96.142859     |
| 231  | 0.002188       | 0.001851 | 84.612572     |
| 232  | 0.002090       | 0.001873 | 89.603821     |
| 233  | 0.001967       | 0.002077 | 94.700418     |
| 234  | 0.002030       | 0.001795 | 88.404582     |
| 235  | 0.002471       | 0.001940 | 78.526470     |
| 236  | 0.002563       | 0.001931 | 75.362167     |
| 237  | 0.001909       | 0.002200 | 86.753372     |
| 238  | 0.001980       | 0.002017 | 98.140135     |
| 239  | 0.001903       | 0.002327 | 81.765760     |
| 240  | 0.002265       | 0.001746 | 77.077145     |
| 241  | 0.001977       | 0.001895 | 95.861646     |
| 242  | 0.001964       | 0.001988 | 98.788764     |
| 243  | 0.002464       | 0.002204 | 89.453369     |
| 244  | 0.002067       | 0.001894 | 91.596510     |
| 245  | 0.002664       | 0.002024 | 75.981198     |
| 246  | 0.002278       | 0.001831 | 80.403531     |
| 247  | 0.002300       | 0.002112 | 91.817397     |
| 248  | 0.002574       | 0.001878 | 72.976000     |
| 249  | 0.002492       | 0.001892 | 75.930913     |
| 250  | 0.002208       | 0.001929 | 87.362006     |
| 251  | 0.002239       | 0.001975 | 88.177316     |
| 252  | 0.002229       | 0.002380 | 93.646913     |
| 253  | 0.002036       | 0.001877 | 92.227458     |
| 254  | 0.002331       | 0.001873 | 80.374889     |
| 255  | 0.001976       | 0.001848 | 93.522691     |
| 256  | 0.002040       | 0.002244 | 90.896947     |
| 257  | 0.002220       | 0.002382 | 93.198952     |
| 258  | 0.002576       | 0.001942 | 75.397378     |
| 259  | 0.002188       | 0.002061 | 94.164865     |
| 260  | 0.002078       | 0.002076 | 99.909667     |
| 261  | 0.002097       | 0.001818 | 86.694354     |
| 262  | 0.002208       | 0.002121 | 96.078446     |
| 263  | 0.002178       | 0.002417 | 90.106600     |
| 264  | 0.002605       | 0.002856 | 91.205947     |
| 265  | 0.002416       | 0.002030 | 84.021907     |
| 266  | 0.001988       | 0.001811 | 91.081082     |
| 267  | 0.001935       | 0.002198 | 88.015076     |
| 268  | 0.002344       | 0.002131 | 90.899604     |
| 269  | 0.002005       | 0.002191 | 91.491933     |
| 270  | 0.002014       | 0.002597 | 77.551659     |
| 271  | 0.002135       | 0.002104 | 98.546760     |
| 272  | 0.001955       | 0.001877 | 95.983852     |
| 273  | 0.002722       | 0.002113 | 77.629127     |
| 274  | 0.002393       | 0.001903 | 79.552489     |
| 275  | 0.002203       | 0.002001 | 90.813239     |
| 276  | 0.002140       | 0.002728 | 78.446611     |
| 277  | 0.002435       | 0.001981 | 81.370385     |
| 278  | 0.002182       | 0.002603 | 83.817853     |
| 279  | 0.002252       | 0.001928 | 85.606465     |
| 280  | 0.002244       | 0.001766 | 78.680954     |
| 281  | 0.002266       | 0.002539 | 89.278846     |
| 282  | 0.002157       | 0.002120 | 98.285732     |
| 283  | 0.002102       | 0.001950 | 92.770873     |
| 284  | 0.002419       | 0.001967 | 81.315932     |
| 285  | 0.002147       | 0.002074 | 96.589760     |
| 286  | 0.002256       | 0.001885 | 83.550968     |
| 287  | 0.002058       | 0.001841 | 89.473989     |
| 288  | 0.002276       | 0.002039 | 89.615653     |
| 289  | 0.002111       | 0.002359 | 89.495684     |
| 290  | 0.002145       | 0.002113 | 98.500646     |
| 291  | 0.002015       | 0.001889 | 93.750921     |
| 292  | 0.002094       | 0.002179 | 96.096228     |
| 293  | 0.002033       | 0.001985 | 97.635069     |
| 294  | 0.002347       | 0.001874 | 79.847425     |
| 295  | 0.002116       | 0.002077 | 98.128210     |
| 296  | 0.002221       | 0.002035 | 91.663023     |
| 297  | 0.002569       | 0.001879 | 73.139846     |
| 298  | 0.002218       | 0.002462 | 90.089775     |
| 299  | 0.003016       | 0.001968 | 65.257564     |
| 300  | 0.002503       | 0.002660 | 94.100020     |
| 301  | 0.002392       | 0.002052 | 85.791514     |
| 302  | 0.002087       | 0.001968 | 94.270688     |
| 303  | 0.002336       | 0.002020 | 86.463626     |
| 304  | 0.002219       | 0.001754 | 79.043384     |
| 305  | 0.002476       | 0.001946 | 78.610732     |
| 306  | 0.001986       | 0.002368 | 83.879145     |
| 307  | 0.002008       | 0.002900 | 69.248357     |
| 308  | 0.002112       | 0.001746 | 82.658205     |
| 309  | 0.002065       | 0.002114 | 97.657309     |
| 310  | 0.002223       | 0.002335 | 95.196904     |
| 311  | 0.002548       | 0.001796 | 70.488042     |
| 312  | 0.002064       | 0.002009 | 97.327899     |
| 313  | 0.002193       | 0.002285 | 95.990372     |
| 314  | 0.002101       | 0.002009 | 95.605296     |
| 315  | 0.002441       | 0.002597 | 93.994439     |
| 316  | 0.002354       | 0.002030 | 86.223923     |
| 317  | 0.002632       | 0.001882 | 71.499010     |
| 318  | 0.001963       | 0.001931 | 98.380748     |
| 319  | 0.002266       | 0.002156 | 95.134312     |
| 320  | 0.002753       | 0.001899 | 68.986651     |
| 321  | 0.002524       | 0.002150 | 85.181467     |
| 322  | 0.002138       | 0.001987 | 92.953212     |
| 323  | 0.002559       | 0.001859 | 72.655378     |
| 324  | 0.002031       | 0.001817 | 89.481917     |
| 325  | 0.002099       | 0.001833 | 87.341477     |
